title,journal,journal_lower,date,authors,abstract,doi,pmid,Rank,Title
Selenoprotein H is an essential regulator of redox homeostasis that cooperates with p53 in development and tumorigenesis,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,2016-Sep,"['Cox AG', 'Tsomides A', 'Kim AJ', 'Saunders D', 'Hwang KL', 'Evason KJ', 'Heidel J', 'Brown KK', 'Yuan M', 'Lien EC', 'Lee BC', 'Nissim S', 'Dickinson B', 'Chhangawala S', 'Chang CJ', 'Asara JM', 'Houvras Y', 'Gladyshev VN', 'Goessling W']","Selenium, an essential micronutrient known for its cancer prevention properties, is incorporated into a class of selenocysteine-containing proteins (selenoproteins). Selenoprotein H (SepH) is a recently identified nucleolar oxidoreductase whose function is not well understood. Here we report that seph is an essential gene regulating organ development in zebrafish. Metabolite profiling by targeted LC-MS/MS demonstrated that SepH deficiency impairs redox balance by reducing the levels of ascorbate and methionine, while increasing methionine sulfoxide. Transcriptome analysis revealed that SepH deficiency induces an inflammatory response and activates the p53 pathway. Consequently, loss of seph renders larvae susceptible to oxidative stress and DNA damage. Finally, we demonstrate that seph interacts with p53 deficiency in adulthood to accelerate gastrointestinal tumor development. Overall, our findings establish that seph regulates redox homeostasis and suppresses DNA damage. We hypothesize that SepH deficiency may contribute to the increased cancer risk observed in cohorts with low selenium levels.",10.1073/pnas.1600204113,27588899,444.0,Proceedings of the National Academy of Sciences of the United States of America
Glutathione peroxidase 4 and vitamin E cooperatively prevent hepatocellular degeneration,Redox biology,redox biology,2016-Oct,"['Carlson BA', 'Tobe R', 'Yefremova E', 'Tsuji PA', 'Hoffmann VJ', 'Schweizer U', 'Gladyshev VN', 'Hatfield DL', 'Conrad M']","The selenoenzyme glutathione peroxidase 4 (Gpx4) is an essential mammalian glutathione peroxidase, which protects cells against detrimental lipid peroxidation and governs a novel form of regulated necrotic cell death, called ferroptosis. To study the relevance of Gpx4 and of another vitally important selenoprotein, cytosolic thioredoxin reductase (Txnrd1), for liver function, mice with conditional deletion of Gpx4 in hepatocytes were studied, along with those lacking Txnrd1 and selenocysteine (Sec) tRNA (Trsp) in hepatocytes. Unlike Txnrd1- and Trsp-deficient mice, Gpx4<sup>-/-</sup> mice died shortly after birth and presented extensive hepatocyte degeneration. Similar to Txnrd1-deficient livers, Gpx4<sup>-/-</sup> livers manifested upregulation of nuclear factor (erythroid-derived)-like 2 (Nrf2) response genes. Remarkably, Gpx4<sup>-/-</sup> pups born from mothers fed a vitamin E-enriched diet survived, yet this protection was reversible as subsequent vitamin E deprivation caused death of Gpx4-deficient mice ~4 weeks thereafter. Abrogation of selenoprotein expression in Gpx4<sup>-/-</sup> mice did not result in viable mice, indicating that the combined deficiency aggravated the loss of Gpx4 in liver. By contrast, combined Trsp/Txnrd1-deficient mice were born, but had significantly shorter lifespans than either single knockout, suggesting that Txnrd1 plays an important role in supporting liver function of mice lacking Trsp. In sum our study demonstrates that the ferroptosis regulator Gpx4 is critical for hepatocyte survival and proper liver function, and that vitamin E can compensate for its loss by protecting cells against deleterious lipid peroxidation.",10.1016/j.redox.2016.05.003,27262435,660.0,Redox Biology
Sensitivity of primary fibroblasts in culture to atmospheric oxygen does not correlate with species lifespan,Aging,aging,2016-May,"['Patrick A', 'Seluanov M', 'Hwang C', 'Tam J', 'Khan T', 'Morgenstern A', 'Wiener L', 'Vazquez JM', 'Zafar H', 'Wen R', 'Muratkalyeva M', 'Doerig K', 'Zagorulya M', 'Cole L', 'Catalano S', 'Lobo Ladd AA', 'Coppi AA', 'Coşkun Y', 'Tian X', 'Ablaeva J', 'Nevo E', 'Gladyshev VN', 'Zhang ZD', 'Vijg J', 'Seluanov A', 'Gorbunova V']","Differences in the way human and mouse fibroblasts experience senescence in culture had long puzzled researchers. While senescence of human cells is mediated by telomere shortening, Parrinello et al. demonstrated that senescence of mouse cells is caused by extreme oxygen sensitivity. It was hypothesized that the striking difference in oxygen sensitivity between mouse and human cells explains their different rates of aging. To test if this hypothesis is broadly applicable, we cultured cells from 16 rodent species with diverse lifespans in 3% and 21% oxygen and compared their growth rates. Unexpectedly, fibroblasts derived from laboratory mouse strains were the only cells demonstrating extreme sensitivity to oxygen. Cells from hamster, muskrat, woodchuck, capybara, blind mole rat, paca, squirrel, beaver, naked mole rat and wild-caught mice were mildly sensitive to oxygen, while cells from rat, gerbil, deer mouse, chipmunk, guinea pig and chinchilla showed no difference in the growth rate between 3% and 21% oxygen. We conclude that, although the growth of primary fibroblasts is generally improved by maintaining cells in 3% oxygen, the extreme oxygen sensitivity is a peculiarity of laboratory mouse strains, possibly related to their very long telomeres, and fibroblast oxygen sensitivity does not directly correlate with species' lifespan.",10.18632/aging.100958,27163160,3382.0,Aging
Selenoprotein Gene Nomenclature,The Journal of biological chemistry,the journal of biological chemistry,2016-Nov,"['Gladyshev VN', 'Arnér ES', 'Berry MJ', 'Brigelius-Flohé R', 'Bruford EA', 'Burk RF', 'Carlson BA', 'Castellano S', 'Chavatte L', 'Conrad M', 'Copeland PR', 'Diamond AM', 'Driscoll DM', 'Ferreiro A', 'Flohé L', 'Green FR', 'Guigó R', 'Handy DE', 'Hatfield DL', 'Hesketh J', 'Hoffmann PR', 'Holmgren A', 'Hondal RJ', 'Howard MT', 'Huang K', 'Kim HY', 'Kim IY', 'Köhrle J', 'Krol A', 'Kryukov GV', 'Lee BJ', 'Lee BC', 'Lei XG', 'Liu Q', 'Lescure A', 'Lobanov AV', 'Loscalzo J', 'Maiorino M', 'Mariotti M', 'Sandeep Prabhu K', 'Rayman MP', 'Rozovsky S', 'Salinas G', 'Schmidt EE', 'Schomburg L', 'Schweizer U', 'Simonović M', 'Sunde RA', 'Tsuji PA', 'Tweedie S', 'Ursini F', 'Whanger PD', 'Zhang Y']","The human genome contains 25 genes coding for selenocysteine-containing proteins (selenoproteins). These proteins are involved in a variety of functions, most notably redox homeostasis. Selenoprotein enzymes with known functions are designated according to these functions: TXNRD1, TXNRD2, and TXNRD3 (thioredoxin reductases), GPX1, GPX2, GPX3, GPX4, and GPX6 (glutathione peroxidases), DIO1, DIO2, and DIO3 (iodothyronine deiodinases), MSRB1 (methionine sulfoxide reductase B1), and SEPHS2 (selenophosphate synthetase 2). Selenoproteins without known functions have traditionally been denoted by SEL or SEP symbols. However, these symbols are sometimes ambiguous and conflict with the approved nomenclature for several other genes. Therefore, there is a need to implement a rational and coherent nomenclature system for selenoprotein-encoding genes. Our solution is to use the root symbol SELENO followed by a letter. This nomenclature applies to SELENOF (selenoprotein F, the 15-kDa selenoprotein, SEP15), SELENOH (selenoprotein H, SELH, C11orf31), SELENOI (selenoprotein I, SELI, EPT1), SELENOK (selenoprotein K, SELK), SELENOM (selenoprotein M, SELM), SELENON (selenoprotein N, SEPN1, SELN), SELENOO (selenoprotein O, SELO), SELENOP (selenoprotein P, SeP, SEPP1, SELP), SELENOS (selenoprotein S, SELS, SEPS1, VIMP), SELENOT (selenoprotein T, SELT), SELENOV (selenoprotein V, SELV), and SELENOW (selenoprotein W, SELW, SEPW1). This system, approved by the HUGO Gene Nomenclature Committee, also resolves conflicting, missing, and ambiguous designations for selenoprotein genes and is applicable to selenoproteins across vertebrates.",10.1074/jbc.M116.756155,27645994,,
Selenophosphate synthetase 1 is an essential protein with roles in regulation of redox homoeostasis in mammals,The Biochemical journal,the biochemical journal,2016-Jul,"['Tobe R', 'Carlson BA', 'Huh JH', 'Castro NP', 'Xu XM', 'Tsuji PA', 'Lee SG', 'Bang J', 'Na JW', 'Kong YY', 'Beaglehole D', 'Southon E', 'Seifried H', 'Tessarollo L', 'Salomon DS', 'Schweizer U', 'Gladyshev VN', 'Hatfield DL', 'Lee BJ']","Selenophosphate synthetase (SPS) was initially detected in bacteria and was shown to synthesize selenophosphate, the active selenium donor. However, mammals have two SPS paralogues, which are designated SPS1 and SPS2. Although it is known that SPS2 catalyses the synthesis of selenophosphate, the function of SPS1 remains largely unclear. To examine the role of SPS1 in mammals, we generated a Sps1-knockout mouse and found that systemic SPS1 deficiency led to embryos that were clearly underdeveloped by embryonic day (E)8.5 and virtually resorbed by E14.5. The knockout of Sps1 in the liver preserved viability, but significantly affected the expression of a large number of mRNAs involved in cancer, embryonic development and the glutathione system. Particularly notable was the extreme deficiency of glutaredoxin 1 (GLRX1) and glutathione transferase Omega 1 (GSTO1). To assess these phenotypes at the cellular level, we targeted the removal of SPS1 in F9 cells, a mouse embryonal carcinoma (EC) cell line, which affected the glutathione system proteins and accordingly led to the accumulation of hydrogen peroxide in the cell. Furthermore, we found that several malignant characteristics of SPS1-deficient F9 cells were reversed, suggesting that SPS1 played a role in supporting and/or sustaining cancer. In addition, the overexpression of mouse or human GLRX1 led to a reversal of observed increases in reactive oxygen species (ROS) in the F9 SPS1/GLRX1-deficient cells and resulted in levels that were similar to those in F9 SPS1-sufficient cells. The results suggested that SPS1 is an essential mammalian enzyme with roles in regulating redox homoeostasis and controlling cell growth.",10.1042/BCJ20160393,27208177,,
Redox Pioneer: Professor Vadim N. Gladyshev,Antioxidants & redox signaling,antioxidants & redox signaling,2016-Jul,['Hatfield DL'],"Professor Vadim N. Gladyshev is recognized here as a Redox Pioneer, because he has published an article on antioxidant/redox biology that has been cited more than 1000 times and 29 articles that have been cited more than 100 times. Gladyshev is world renowned for his characterization of the human selenoproteome encoded by 25 genes, identification of the majority of known selenoprotein genes in the three domains of life, and discoveries related to thiol oxidoreductases and mechanisms of redox control. Gladyshev's first faculty position was in the Department of Biochemistry, the University of Nebraska. There, he was a Charles Bessey Professor and Director of the Redox Biology Center. He then moved to the Department of Medicine at Brigham and Women's Hospital, Harvard Medical School, where he is Professor of Medicine and Director of the Center for Redox Medicine. His discoveries in redox biology relate to selenoenzymes, such as methionine sulfoxide reductases and thioredoxin reductases, and various thiol oxidoreductases. He is responsible for the genome-wide identification of catalytic redox-active cysteines and for advancing our understanding of the general use of cysteines by proteins. In addition, Gladyshev has characterized hydrogen peroxide metabolism and signaling and regulation of protein function by methionine-R-sulfoxidation. He has also made important contributions in the areas of aging and lifespan control and pioneered applications of comparative genomics in redox biology, selenium biology, and aging. Gladyshev's discoveries have had a profound impact on redox biology and the role of redox control in health and disease. He is a true Redox Pioneer. Antioxid. Redox Signal. 25, 1-9.",10.1089/ars.2015.6625,26984707,,
A New Class of Thioredoxin-Related Protein Able to Bind Iron-Sulfur Clusters,Antioxidants & redox signaling,antioxidants & redox signaling,2016-Jan,"['Bisio H', 'Bonilla M', 'Manta B', 'Graña M', 'Salzman V', 'Aguilar PS', 'Gladyshev VN', 'Comini MA', 'Salinas G']","Members of the thioredoxin (Trx) protein family participate mainly in redox pathways and have not been associated with Fe/S binding, in contrast to some closely related glutaredoxins (Grxs). Cestode parasites possess an unusual diversity of Trxs and Trx-related proteins with unexplored functions. In this study, we addressed the biochemical characterization of a new class of Trx-related protein (IsTRP) and a classical monothiol Grx (EgGrx5) from the human pathogen Echinococcus granulosus.",10.1089/ars.2015.6377,26381228,,
Using DNA Methylation Profiling to Evaluate Biological Age and Longevity Interventions,Cell metabolism,cell metabolism,2017-Apr,"['Petkovich DA', 'Podolskiy DI', 'Lobanov AV', 'Lee SG', 'Miller RA', 'Gladyshev VN']","The DNA methylation levels of certain CpG sites are thought to reflect the pace of human aging. Here, we developed a robust predictor of mouse biological age based on 90 CpG sites derived from partial blood DNA methylation profiles. The resulting clock correctly determines the age of mouse cohorts, detects the longevity effects of calorie restriction and gene knockouts, and reports rejuvenation of fibroblast-derived iPSCs. The data show that mammalian DNA methylomes are characterized by CpG sites that may represent the organism's biological age. They are scattered across the genome, they are distinct in human and mouse, and their methylation gradually changes with age. The clock derived from these sites represents a biomarker of aging and can be used to determine the biological age of organisms and evaluate interventions that alter the rate of aging.",10.1016/j.cmet.2017.03.016,28380383,63.0,Cell Metabolism
Ribonuclease selection for ribosome profiling,Nucleic acids research,nucleic acids research,2017-Jan,"['Gerashchenko MV', 'Gladyshev VN']","Ribosome profiling has emerged as a powerful method to assess global gene translation, but methodological and analytical challenges often lead to inconsistencies across labs and model organisms. A critical issue in ribosome profiling is nuclease treatment of ribosome-mRNA complexes, as it is important to ensure both stability of ribosomal particles and complete conversion of polysomes to monosomes. We performed comparative ribosome profiling in yeast and mice with various ribonucleases including I, A, S7 and T1, characterized their cutting preferences, trinucleotide periodicity patterns and coverage similarities across coding sequences, and showed that they yield comparable estimations of gene expression when ribosome integrity is not compromised. However, ribosome coverage patterns of individual transcripts had little in common between the ribonucleases. We further examined their potency at converting polysomes to monosomes across other commonly used model organisms, including bacteria, nematodes and fruit flies. In some cases, ribonuclease treatment completely degraded ribosome populations. Ribonuclease T1 was the only enzyme that preserved ribosomal integrity while thoroughly converting polysomes to monosomes in all examined species. This study provides a guide for ribonuclease selection in ribosome profiling experiments across most common model systems.",10.1093/nar/gkw822,27638886,159.0,Nucleic Acids Research
Age-associated molecular changes are deleterious and may modulate life span through diet,Science advances,science advances,2017-Feb,"['Lee SG', 'Kaya A', 'Avanesov AS', 'Podolskiy DI', 'Song EJ', 'Go DM', 'Jin GD', 'Hwang JY', 'Kim EB', 'Kim DY', 'Gladyshev VN']","Transition through life span is accompanied by numerous molecular changes, such as dysregulated gene expression, altered metabolite levels, and accumulated molecular damage. These changes are thought to be causal factors in aging; however, because they are numerous and are also influenced by genotype, environment, and other factors in addition to age, it is difficult to characterize the cumulative effect of these molecular changes on longevity. We reasoned that age-associated changes, such as molecular damage and tissue composition, may influence life span when used in the diet of organisms that are closely related to those that serve as a dietary source. To test this possibility, we used species-specific culture media and diets that incorporated molecular extracts of young and old organisms and compared the influence of these diets on the life span of yeast, fruitflies, and mice. In each case, the ""old"" diet or medium shortened the life span for one or both sexes. These findings suggest that age-associated molecular changes, such as cumulative damage and altered dietary composition, are deleterious and causally linked with aging and may affect life span through diet.",10.1126/sciadv.1601833,28232953,347.0,Science advances
Cytochrome <i>c</i> peroxidase facilitates the beneficial use of H<sub>2</sub>O<sub>2</sub> in prokaryotes,Proceedings of the National Academy of Sciences of the United States of America,proceedings of the national academy of sciences of the united states of america,2017-Aug,"['Kaya A', 'Mariotti M', 'Gladyshev VN']",,10.1073/pnas.1710943114,28765365,444.0,Proceedings of the National Academy of Sciences of the United States of America
Naked Mole Rat Induced Pluripotent Stem Cells and Their Contribution to Interspecific Chimera,Stem cell reports,stem cell reports,2017-Nov,"['Lee SG', 'Mikhalchenko AE', 'Yim SH', 'Lobanov AV', 'Park JK', 'Choi KH', 'Bronson RT', 'Lee CK', 'Park TJ', 'Gladyshev VN']","Naked mole rats (NMRs) are exceptionally long-lived, cancer-resistant rodents. Identifying the defining characteristics of these traits may shed light on aging and cancer mechanisms. Here, we report the generation of induced pluripotent stem cells (iPSCs) from NMR fibroblasts and their contribution to mouse-NMR chimeric embryos. Efficient reprogramming could be observed under N2B27+2i conditions. The iPSCs displayed a characteristic morphology, expressed pluripotent markers, formed embryoid bodies, and showed typical differentiation patterns. Interestingly, NMR embryonic fibroblasts and the derived iPSCs had propensity for a tetraploid karyotype and were resistant to forming teratomas, but within mouse blastocysts they contributed to both interspecific placenta and fetus. Gene expression patterns of NMR iPSCs were more similar to those of human than mouse iPSCs. Overall, we uncovered unique features of NMR iPSCs and report a mouse-NMR chimeric model. The iPSCs and associated cell culture systems can be used for a variety of biological and biomedical applications.",10.1016/j.stemcr.2017.09.013,29107591,920.0,Stem Cell Reports
Selenoprotein MsrB1 promotes anti-inflammatory cytokine gene expression in macrophages and controls immune response in vivo,Scientific reports,scientific reports,2017-Jul,"['Lee BC', 'Lee SG', 'Choo MK', 'Kim JH', 'Lee HM', 'Kim S', 'Fomenko DE', 'Kim HY', 'Park JM', 'Gladyshev VN']","Post-translational redox modification of methionine residues often triggers a change in protein function. Emerging evidence points to this reversible protein modification being an important regulatory mechanism under various physiological conditions. Reduction of oxidized methionine residues is catalyzed by methionine sulfoxide reductases (Msrs). Here, we show that one of these enzymes, a selenium-containing MsrB1, is highly expressed in immune-activated macrophages and contributes to shaping cellular and organismal immune responses. In particular, lipopolysaccharide (LPS) induces expression of MsrB1, but not other Msrs. Genetic ablation of MsrB1 did not preclude LPS-induced intracellular signaling in macrophages, but resulted in attenuated induction of anti-inflammatory cytokines, such as interleukin (IL)-10 and the IL-1 receptor antagonist. This anomaly was associated with excessive pro-inflammatory cytokine production as well as an increase in acute tissue inflammation in mice. Together, our findings suggest that MsrB1 controls immune responses by promoting anti-inflammatory cytokine expression in macrophages. MsrB1-dependent reduction of oxidized methionine in proteins may be a heretofore unrecognized regulatory event underlying immunity and inflammatory disease, and a novel target for clinical applications.",10.1038/s41598-017-05230-2,28698597,5260.0,Scientific Reports
Molecular signatures of longevity: Insights from cross-species comparative studies,Seminars in cell & developmental biology,seminars in cell & developmental biology,2017-Oct,"['Ma S', 'Gladyshev VN']","Much of the current research on longevity focuses on the aging process within a single species. Several molecular players (e.g. IGF1 and MTOR), pharmacological compounds (e.g. rapamycin and metformin), and dietary approaches (e.g. calorie restriction and methionine restriction) have been shown to be important in regulating and modestly extending lifespan in model organisms. On the other hand, natural lifespan varies much more significantly across species. Within mammals alone, maximum lifespan differs more than 100 fold, but the underlying regulatory mechanisms remain poorly understood. Recent comparative studies are beginning to shed light on the molecular signatures associated with exceptional longevity. These include genome sequencing of microbats, naked mole rat, blind mole rat, bowhead whale and African turquoise killifish, and comparative analyses of gene expression, metabolites, lipids and ions across multiple mammalian species. Together, they point towards several putative strategies for lifespan regulation and cancer resistance, as well as the pathways and metabolites associated with longevity variation. In particular, longevity may be achieved by both lineage-specific adaptations and common mechanisms that apply across the species. Comparing the resulting cross-species molecular signatures with the within-species lifespan extension strategies will improve our understanding of mechanisms of longevity control and provide a starting point for novel and effective interventions.",10.1016/j.semcdb.2017.08.007,28800931,,
Non-enzymatic molecular damage as a prototypic driver of aging,The Journal of biological chemistry,the journal of biological chemistry,2017-Apr,"['Golubev A', 'Hanson AD', 'Gladyshev VN']","The chemical potentialities of metabolites far exceed metabolic requirements. The required potentialities are realized mostly through enzymatic catalysis. The rest are realized spontaneously through organic reactions that (i) occur wherever appropriate reactants come together, (ii) are so typical that many have proper names (<i>e.g.</i> Michael addition, Amadori rearrangement, and Pictet-Spengler reaction), and (iii) often have damaging consequences. There are many more causes of non-enzymatic damage to metabolites than reactive oxygen species and free radical processes (the ""usual suspects""). Endogenous damage accumulation in non-renewable macromolecules and spontaneously polymerized material is sufficient to account for aging and differentiates aging from wear-and-tear of inanimate objects by deriving it from metabolism, the essential attribute of life.",10.1074/jbc.R116.751164,28264930,,
Regulated methionine oxidation by monooxygenases,Free radical biology & medicine,free radical biology & medicine,2017-Aug,"['Manta B', 'Gladyshev VN']","Protein function can be regulated via post-translational modifications by numerous enzymatic and non-enzymatic mechanisms, including oxidation of cysteine and methionine residues. Redox-dependent regulatory mechanisms have been identified for nearly every cellular process, but the major paradigm has been that cellular components are oxidized (damaged) by reactive oxygen species (ROS) in a relatively unspecific way, and then reduced (repaired) by designated reductases. While this scheme may work with cysteine, it cannot be ascribed to other residues, such as methionine, whose reaction with ROS is too slow to be biologically relevant. However, methionine is clearly oxidized in vivo and enzymes for its stereoselective reduction are present in all three domains of life. Here, we revisit the chemistry and biology of methionine oxidation, with emphasis on its generation by enzymes from the monooxygenase family. Particular attention is placed on MICALs, a recently discovered family of proteins that harbor an unusual flavin-monooxygenase domain with an NADPH-dependent methionine sulfoxidase activity. Based on structural and kinetic information we provide a rational framework to explain MICAL mechanism, inhibition, and regulation. Methionine residues that are targeted by MICALs are reduced back by methionine sulfoxide reductases, suggesting that reversible methionine oxidation may be a general mechanism analogous to the regulation by phosphorylation by kinases/phosphatases. The identification of new enzymes that catalyze the oxidation of methionine will open a new area of research at the forefront of redox signaling.",10.1016/j.freeradbiomed.2017.02.010,28229915,,
Position-dependent termination and widespread obligatory frameshifting in Euplotes translation,Nature structural & molecular biology,nature structural & molecular biology,2017-Jan,"['Lobanov AV', 'Heaphy SM', 'Turanov AA', 'Gerashchenko MV', 'Pucciarelli S', 'Devaraj RR', 'Xie F', 'Petyuk VA', 'Smith RD', 'Klobutcher LA', 'Atkins JF', 'Miceli C', 'Hatfield DL', 'Baranov PV', 'Gladyshev VN']","The ribosome can change its reading frame during translation in a process known as programmed ribosomal frameshifting. These rare events are supported by complex mRNA signals. However, we found that the ciliates Euplotes crassus and Euplotes focardii exhibit widespread frameshifting at stop codons. 47 different codons preceding stop signals resulted in either +1 or +2 frameshifts, and +1 frameshifting at AAA was the most frequent. The frameshifts showed unusual plasticity and rapid evolution, and had little influence on translation rates. The proximity of a stop codon to the 3' mRNA end, rather than its occurrence or sequence context, appeared to designate termination. Thus, a 'stop codon' is not a sufficient signal for translation termination, and the default function of stop codons in Euplotes is frameshifting, whereas termination is specific to certain mRNA positions and probably requires additional factors.",10.1038/nsmb.3330,27870834,,
Comparative transcriptomics of 5 high-altitude vertebrates and their low-altitude relatives,GigaScience,gigascience,2017-Dec,"['Tang Q', 'Gu Y', 'Zhou X', 'Jin L', 'Guan J', 'Liu R', 'Li J', 'Long K', 'Tian S', 'Che T', 'Hu S', 'Liang Y', 'Yang X', 'Tao X', 'Zhong Z', 'Wang G', 'Chen X', 'Li D', 'Ma J', 'Wang X', 'Mai M', 'Jiang A', 'Luo X', 'Lv X', 'Gladyshev VN', 'Li X', 'Li M']","Species living at high altitude are subject to strong selective pressures due to inhospitable environments (e.g., hypoxia, low temperature, high solar radiation, and lack of biological production), making these species valuable models for comparative analyses of local adaptation. Studies that have examined high-altitude adaptation have identified a vast array of rapidly evolving genes that characterize the dramatic phenotypic changes in high-altitude animals. However, how high-altitude environment shapes gene expression programs remains largely unknown.",10.1093/gigascience/gix105,29149296,330.0,GigaScience
Comprehensive variation discovery and recovery of missing sequence in the pig genome using multiple de novo assemblies,Genome research,genome research,2017-May,"['Li M', 'Chen L', 'Tian S', 'Lin Y', 'Tang Q', 'Zhou X', 'Li D', 'Yeung CKL', 'Che T', 'Jin L', 'Fu Y', 'Ma J', 'Wang X', 'Jiang A', 'Lan J', 'Pan Q', 'Liu Y', 'Luo Z', 'Guo Z', 'Liu H', 'Zhu L', 'Shuai S', 'Tang G', 'Zhao J', 'Jiang Y', 'Bai L', 'Zhang S', 'Mai M', 'Li C', 'Wang D', 'Gu Y', 'Wang G', 'Lu H', 'Li Y', 'Zhu H', 'Li Z', 'Li M', 'Gladyshev VN', 'Jiang Z', 'Zhao S', 'Wang J', 'Li R', 'Li X']","Uncovering genetic variation through resequencing is limited by the fact that only sequences with similarity to the reference genome are examined. Reference genomes are often incomplete and cannot represent the full range of genetic diversity as a result of geographical divergence and independent demographic events. To more comprehensively characterize genetic variation of pigs (<i>Sus scrofa</i>), we generated de novo assemblies of nine geographically and phenotypically representative pigs from Eurasia. By comparing them to the reference pig assembly, we uncovered a substantial number of novel SNPs and structural variants, as well as 137.02-Mb sequences harboring 1737 protein-coding genes that were absent in the reference assembly, revealing variants left by selection. Our results illustrate the power of whole-genome de novo sequencing relative to resequencing and provide valuable genetic resources that enable effective use of pigs in both agricultural production and biomedical research.",10.1101/gr.207456.116,27646534,353.0,Genome Research
Translation fidelity coevolves with longevity,Aging cell,aging cell,2017-Oct,"['Ke Z', 'Mallik P', 'Johnson AB', 'Luna F', 'Nevo E', 'Zhang ZD', 'Gladyshev VN', 'Seluanov A', 'Gorbunova V']","Whether errors in protein synthesis play a role in aging has been a subject of intense debate. It has been suggested that rare mistakes in protein synthesis in young organisms may result in errors in the protein synthesis machinery, eventually leading to an increasing cascade of errors as organisms age. Studies that followed generally failed to identify a dramatic increase in translation errors with aging. However, whether translation fidelity plays a role in aging remained an open question. To address this issue, we examined the relationship between translation fidelity and maximum lifespan across 17 rodent species with diverse lifespans. To measure translation fidelity, we utilized sensitive luciferase-based reporter constructs with mutations in an amino acid residue critical to luciferase activity, wherein misincorporation of amino acids at this mutated codon re-activated the luciferase. The frequency of amino acid misincorporation at the first and second codon positions showed strong negative correlation with maximum lifespan. This correlation remained significant after phylogenetic correction, indicating that translation fidelity coevolves with longevity. These results give new life to the role of protein synthesis errors in aging: Although the error rate may not significantly change with age, the basal rate of translation errors is important in defining lifespan across mammals.",10.1111/acel.12628,28707419,709.0,Aging Cell
Aminoglycoside-driven biosynthesis of selenium-deficient Selenoprotein P,Scientific reports,scientific reports,2017-Jun,"['Renko K', 'Martitz J', 'Hybsier S', 'Heynisch B', 'Voss L', 'Everley RA', 'Gygi SP', 'Stoedter M', 'Wisniewska M', 'Köhrle J', 'Gladyshev VN', 'Schomburg L']","Selenoprotein biosynthesis relies on the co-translational insertion of selenocysteine in response to UGA codons. Aminoglycoside antibiotics interfere with ribosomal function and may cause codon misreading. We hypothesized that biosynthesis of the selenium (Se) transporter selenoprotein P (SELENOP) is particularly sensitive to antibiotics due to its ten in frame UGA codons. As liver regulates Se metabolism, we tested the aminoglycosides G418 and gentamicin in hepatoma cell lines (HepG2, Hep3B and Hepa1-6) and in experimental mice. In vitro, SELENOP levels increased strongly in response to G418, whereas expression of the glutathione peroxidases GPX1 and GPX2 was marginally affected. Se content of G418-induced SELENOP was dependent on Se availability, and was completely suppressed by G418 under Se-poor conditions. Selenocysteine residues were replaced mainly by cysteine, tryptophan and arginine in a codon-specific manner. Interestingly, in young healthy mice, antibiotic treatment failed to affect Selenop biosynthesis to a detectable degree. These findings suggest that the interfering activity of aminoglycosides on selenoprotein biosynthesis can be severe, but depend on the Se status, and other parameters likely including age and general health. Focused analyses with aminoglycoside-treated patients are needed next to evaluate a possible interference of selenoprotein biosynthesis by the antibiotics and elucidate potential side effects.",10.1038/s41598-017-04586-9,28663583,5260.0,Scientific Reports
Selenoprotein MsrB1 deficiency exacerbates acetaminophen-induced hepatotoxicity via increased oxidative damage,Archives of biochemistry and biophysics,archives of biochemistry and biophysics,2017-Nov,"['Kim KY', 'Kwak GH', 'Singh MP', 'Gladyshev VN', 'Kim HY']","Acetaminophen (APAP) overdose induces acute liver damage and failure via reactive oxygen species production and glutathione (GSH) depletion. Methionine sulfoxide reductase B1 (MsrB1) is an antioxidant selenoenzyme that specifically catalyzes the reduction of methionine R-sulfoxide residues. In this study, we used MsrB1 gene-knockout mice and primary hepatocytes to investigate the effect of MsrB1 on APAP-induced hepatotoxicity. Analyses of histological alterations and serum indicators of liver damage showed that MsrB1<sup>-/-</sup> mice were more susceptible to APAP-induced acute liver injury than wild-type (MsrB1<sup>+/+</sup>) mice. Consistent with the in vivo results, primary MsrB1<sup>-/-</sup> hepatocytes displayed higher susceptibility to APAP-induced cytotoxicity than MsrB1<sup>+/+</sup> cells. MsrB1 deficiency increased hepatic oxidative stress after APAP challenge such as hydrogen peroxide production, lipid peroxidation, and protein oxidation levels. Additionally, basal and APAP-induced ratios of reduced-to-oxidized GSH (GSH/GSSG) were significantly lower in MsrB1<sup>-/-</sup> than in MsrB1<sup>+/+</sup> livers. Nrf2 nuclear accumulation and heme oxygenase-1 expression levels after APAP challenge were lower in MsrB1<sup>-/-</sup> than in MsrB1<sup>+/+</sup> livers, suggesting that MsrB1 deficiency attenuates the APAP-induced activation of Nrf2. Collectively, the results of this study suggest that selenoprotein MsrB1 plays a protective role against APAP-induced hepatotoxicity via its antioxidative function.",10.1016/j.abb.2017.09.020,28986131,5350.0,Archives of Biochemistry and Biophysics
